"MJD","Year","Month","Day","YY.MMDD","X","timestamp","LOD[msec]","sigma_LOD[msec]"
37763,1962,4,9,62.0409,98,1962-04-09,1.486,1.4
37764,1962,4,10,62.0410,99,1962-04-10,1.38,1.4
37765,1962,4,11,62.0411,100,1962-04-11,1.336,1.4
37766,1962,4,12,62.0412,101,1962-04-12,1.339,1.4
37767,1962,4,13,62.0413,102,1962-04-13,1.386,1.4
37768,1962,4,14,62.0414,103,1962-04-14,1.462,1.4
37769,1962,4,15,62.0415,104,1962-04-15,1.553,1.4
37770,1962,4,16,62.0416,105,1962-04-16,1.644,1.4
37771,1962,4,17,62.0417,106,1962-04-17,1.713,1.4
37772,1962,4,18,62.0418,107,1962-04-18,1.747,1.4
37773,1962,4,19,62.0419,108,1962-04-19,1.76,1.4
37774,1962,4,20,62.0420,109,1962-04-20,1.728,1.4
37775,1962,4,21,62.0421,110,1962-04-21,1.652,1.4
37776,1962,4,22,62.0422,111,1962-04-22,1.564,1.4
37777,1962,4,23,62.0423,112,1962-04-23,1.482,1.4
37778,1962,4,24,62.0424,113,1962-04-24,1.407,1.4
37779,1962,4,25,62.0425,114,1962-04-25,1.381,1.4
37780,1962,4,26,62.0426,115,1962-04-26,1.409,1.4
37781,1962,4,27,62.0427,116,1962-04-27,1.501,1.4
37782,1962,4,28,62.0428,117,1962-04-28,1.651,1.4
37783,1962,4,29,62.0429,118,1962-04-29,1.84,1.4
37784,1962,4,30,62.0430,119,1962-04-30,2.037,1.4
37785,1962,5,1,62.0501,120,1962-05-01,2.184,1.4
37786,1962,5,2,62.0502,121,1962-05-02,2.24,1.4
37787,1962,5,3,62.0503,122,1962-05-03,2.18,1.4
37788,1962,5,4,62.0504,123,1962-05-04,2.019,1.4
37789,1962,5,5,62.0505,124,1962-05-05,1.812,1.4
37790,1962,5,6,62.0506,125,1962-05-06,1.609,1.4
37791,1962,5,7,62.0507,126,1962-05-07,1.449,1.4
37792,1962,5,8,62.0508,127,1962-05-08,1.358,1.4
37793,1962,5,9,62.0509,128,1962-05-09,1.329,1.4
37794,1962,5,10,62.0510,129,1962-05-10,1.35,1.4
37795,1962,5,11,62.0511,130,1962-05-11,1.407,1.4
37796,1962,5,12,62.0512,131,1962-05-12,1.494,1.4
37797,1962,5,13,62.0513,132,1962-05-13,1.576,1.4
37798,1962,5,14,62.0514,133,1962-05-14,1.649,1.4
37799,1962,5,15,62.0515,134,1962-05-15,1.711,1.4
37800,1962,5,16,62.0516,135,1962-05-16,1.744,1.4
37801,1962,5,17,62.0517,136,1962-05-17,1.735,1.4
37802,1962,5,18,62.0518,137,1962-05-18,1.693,1.4
37803,1962,5,19,62.0519,138,1962-05-19,1.612,1.4
37804,1962,5,20,62.0520,139,1962-05-20,1.527,1.4
37805,1962,5,21,62.0521,140,1962-05-21,1.44,1.4
37806,1962,5,22,62.0522,141,1962-05-22,1.374,1.4
37807,1962,5,23,62.0523,142,1962-05-23,1.352,1.4
37808,1962,5,24,62.0524,143,1962-05-24,1.391,1.4
37809,1962,5,25,62.0525,144,1962-05-25,1.466,1.4
37810,1962,5,26,62.0526,145,1962-05-26,1.578,1.4
37811,1962,5,27,62.0527,146,1962-05-27,1.697,1.4
37812,1962,5,28,62.0528,147,1962-05-28,1.785,1.4
37813,1962,5,29,62.0529,148,1962-05-29,1.796,1.4
37814,1962,5,30,62.0530,149,1962-05-30,1.71,1.4
37815,1962,5,31,62.0531,150,1962-05-31,1.537,1.4
37816,1962,6,1,62.0601,151,1962-06-01,1.313,1.4
37817,1962,6,2,62.0602,152,1962-06-02,1.08,1.4
37818,1962,6,3,62.0603,153,1962-06-03,0.869,1.4
37819,1962,6,4,62.0604,154,1962-06-04,0.701,1.4
37820,1962,6,5,62.0605,155,1962-06-05,0.603,1.4
37821,1962,6,6,62.0606,156,1962-06-06,0.579,1.4
37822,1962,6,7,62.0607,157,1962-06-07,0.595,1.4
37823,1962,6,8,62.0608,158,1962-06-08,0.638,1.4
37824,1962,6,9,62.0609,159,1962-06-09,0.709,1.4
37825,1962,6,10,62.0610,160,1962-06-10,0.786,1.4
37826,1962,6,11,62.0611,161,1962-06-11,0.824,1.4
37827,1962,6,12,62.0612,162,1962-06-12,0.845,1.4
37828,1962,6,13,62.0613,163,1962-06-13,0.826,1.4
37829,1962,6,14,62.0614,164,1962-06-14,0.787,1.4
37830,1962,6,15,62.0615,165,1962-06-15,0.72,1.4
37831,1962,6,16,62.0616,166,1962-06-16,0.634,1.4
37832,1962,6,17,62.0617,167,1962-06-17,0.535,1.4
37833,1962,6,18,62.0618,168,1962-06-18,0.458,1.4
37834,1962,6,19,62.0619,169,1962-06-19,0.427,1.4
37835,1962,6,20,62.0620,170,1962-06-20,0.46,1.4
37836,1962,6,21,62.0621,171,1962-06-21,0.555,1.4
37837,1962,6,22,62.0622,172,1962-06-22,0.701,1.4
37838,1962,6,23,62.0623,173,1962-06-23,0.851,1.4
37839,1962,6,24,62.0624,174,1962-06-24,0.971,1.4
37840,1962,6,25,62.0625,175,1962-06-25,1.029,1.4
37841,1962,6,26,62.0626,176,1962-06-26,1.011,1.4
37842,1962,6,27,62.0627,177,1962-06-27,0.925,1.4
37843,1962,6,28,62.0628,178,1962-06-28,0.772,1.4
37844,1962,6,29,62.0629,179,1962-06-29,0.612,1.4
37845,1962,6,30,62.0630,180,1962-06-30,0.453,1.4
37846,1962,7,1,62.0701,181,1962-07-01,0.345,1.4
37847,1962,7,2,62.0702,182,1962-07-02,0.282,1.4
37848,1962,7,3,62.0703,183,1962-07-03,0.286,1.4
37849,1962,7,4,62.0704,184,1962-07-04,0.334,1.4
37850,1962,7,5,62.0705,185,1962-07-05,0.421,1.4
37851,1962,7,6,62.0706,186,1962-07-06,0.511,1.4
37852,1962,7,7,62.0707,187,1962-07-07,0.6,1.4
37853,1962,7,8,62.0708,188,1962-07-08,0.673,1.4
37854,1962,7,9,62.0709,189,1962-07-09,0.722,1.4
37855,1962,7,10,62.0710,190,1962-07-10,0.739,1.4
37856,1962,7,11,62.0711,191,1962-07-11,0.728,1.4
37857,1962,7,12,62.0712,192,1962-07-12,0.691,1.4
37858,1962,7,13,62.0713,193,1962-07-13,0.637,1.4
